AGBLB  -37.0454   -9.0387   448   34.51  0.88   Assumpcao etal.2012 statistics JSAmES2012 
AGVB   -50.2331  -19.7393   450   43.44  0.61   Assumpcao etal.2012 statistics JSAmES2012 
APOB   -52.0251  -18.5471   580   47.58  7.53   Assumpcao etal.2012 statistics JSAmES2012 
APOB2  -52.0740  -18.5081   657   46.20  2.93   Assumpcao etal.2012 statistics JSAmES2012 
AQDB   -55.6990  -20.4760   155   32.99  0.57   Assumpcao etal.2012 statistics JSAmES2012 
ARAB   -51.8078  -15.6646   290   30.57  1.21   Assumpcao etal.2012 statistics JSAmES2012 
AREB   -46.1234  -21.3625   980   40.32  0.72   Assumpcao etal.2012 statistics JSAmES2012 
ATDB   -42.8606  -21.2900   550   41.51  0.78   Assumpcao etal.2012 statistics JSAmES2012 
BALB   -59.4138   -1.9156   191   41.82  0.95   Assumpcao etal.2012 statistics JSAmES2012 
BAMB   -46.0308  -20.0398   700   40.66  0.77   Assumpcao etal.2012 statistics JSAmES2012 
BARB   -43.8010  -21.2220  1140   38.14  2.60   Assumpcao etal.2012 statistics JSAmES2012 
BDFB   -48.0148  -15.6418  1195   42.17  0.96   Assumpcao etal.2012 statistics JSAmES2012 
BEB    -48.4443   -1.4503     2   44.77  1.18   Assumpcao etal.2012 statistics JSAmES2012 
BB4B   -48.5076  -21.0821   571   39.80  1.08   Assumpcao etal.2012 statistics JSAmES2012 
BET1   -44.1493  -19.9874   857   43.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
BRSB   -45.5854  -22.5353  1850   40.13  1.05   Assumpcao etal.2012 statistics JSAmES2012 
BSCB   -44.7635  -20.9985   965   37.85  0.49   Assumpcao etal.2012 statistics JSAmES2012 
CACB   -46.7326  -21.6802  1381   41.53  1.05   Assumpcao etal.2012 statistics JSAmES2012 
CAMB   -41.4290  -21.7840   148   35.21  0.96   Assumpcao etal.2012 statistics JSAmES2012 
CANB   -50.3778  -22.9681   442   43.07  1.00   Assumpcao etal.2012 statistics JSAmES2012 
CAPB   -51.0155  -22.8125   340   42.37  0.53   Assumpcao etal.2012 statistics JSAmES2012 
CAUB   -36.0103   -8.1769   479   34.31  0.67   Assumpcao etal.2012 statistics JSAmES2012 
CAUB2  -36.0093   -8.1768   493   33.85  0.98   Assumpcao etal.2012 statistics JSAmES2012 
CCUB   -51.2126  -18.4253   474   43.79  2.57   Assumpcao etal.2012 statistics JSAmES2012 
CDCB   -44.7182  -20.2365   860   40.13  0.85   Assumpcao etal.2012 statistics JSAmES2012 
CDSB   -52.8393  -18.7655   752   40.68  1.22   Assumpcao etal.2012 statistics JSAmES2012 
CMPA   -54.1688  -19.5792   480   42.20  0.86   Assumpcao etal.2012 statistics JSAmES2012 
CORB   -48.6892  -17.7433   950   39.19  0.75   Assumpcao etal.2012 statistics JSAmES2012 
CPUP   -57.3309  -26.3306   105   34.22  0.52   Assumpcao etal.2012 statistics JSAmES2012 
CRJB   -50.1546   -6.1702   757   37.78  0.58   Assumpcao etal.2012 statistics JSAmES2012 
CRTB   -44.5819  -13.4321   542   40.10  0.67   Assumpcao etal.2012 statistics JSAmES2012 
CS6B   -38.6709   -5.4945   110   30.78  0.40   Assumpcao etal.2012 statistics JSAmES2012 
CV1B   -47.3767  -13.8142   801   41.99  2.28   Assumpcao etal.2012 statistics JSAmES2012 
CV3B   -47.2241  -13.7571   703   39.93  0.87   Assumpcao etal.2012 statistics JSAmES2012 
DAEB   -46.0099  -23.6903   775   34.53  0.95   Assumpcao etal.2012 statistics JSAmES2012 
FRMB   -45.6389  -20.4876   785   36.83  1.07   Assumpcao etal.2012 statistics JSAmES2012 
FURB   -46.2779  -20.6782   850   39.93  2.25   Assumpcao etal.2012 statistics JSAmES2012 
GNSB   -49.0855  -15.2644  1099   43.22  0.67   Assumpcao etal.2012 statistics JSAmES2012 
IBIB   -48.8139  -21.7772   440   42.13  2.46   Assumpcao etal.2012 statistics JSAmES2012 
IGAB   -46.1164  -23.2524   677   34.18  0.51   Assumpcao etal.2012 statistics JSAmES2012 
IGCB   -47.6085   -1.1272    55   36.18  1.15   Assumpcao etal.2012 statistics JSAmES2012 
IGPB   -47.7139  -20.0005   631   42.85  5.47   Assumpcao etal.2012 statistics JSAmES2012 
ITAB   -52.3411  -27.3082   459   44.20  1.14   Assumpcao etal.2012 statistics JSAmES2012 
ITPB   -39.6282  -15.9887   307   40.80  0.69   Assumpcao etal.2012 statistics JSAmES2012 
JATB   -51.4929  -17.8929   817   43.82  0.78   Assumpcao etal.2012 statistics JSAmES2012 
JFOB   -43.3258  -21.7278   776   41.41  1.13   Assumpcao etal.2012 statistics JSAmES2012 
JNRB   -44.5051  -15.4678   572   38.96  0.85   Assumpcao etal.2012 statistics JSAmES2012 
JUQB   -47.7163  -24.0930   484   39.17  0.73   Assumpcao etal.2012 statistics JSAmES2012 
NATB   -42.0040  -21.0550   265   41.22  0.74   Assumpcao etal.2012 statistics JSAmES2012 
NAVB   -54.1842  -21.4336   404   39.86  1.07   Assumpcao etal.2012 statistics JSAmES2012 
NOVB   -49.5582  -28.6105   135   38.13  0.72   Assumpcao etal.2012 statistics JSAmES2012 
NP4B   -47.5930  -19.3755   910   40.42  0.98   Assumpcao etal.2012 statistics JSAmES2012 
NUPB   -47.6859  -20.6628   678   43.39  1.13   Assumpcao etal.2012 statistics JSAmES2012 
OLIB   -48.9306  -20.8793   480   44.40  0.73   Assumpcao etal.2012 statistics JSAmES2012 
PACB   -51.2618  -21.6074   347   44.45  0.97   Assumpcao etal.2012 statistics JSAmES2012 
PARB   -45.6217  -23.3382   767   35.36  1.32   Assumpcao etal.2012 statistics JSAmES2012 
PAZB   -50.8634  -15.1369   410   34.00  0.96   Assumpcao etal.2012 statistics JSAmES2012 
PDCB   -39.1238  -12.5306   220   38.23  0.67   Assumpcao etal.2012 statistics JSAmES2012 
POPB   -52.8368  -22.4565   283   45.13  0.73   Assumpcao etal.2012 statistics JSAmES2012 
PORB   -49.0787  -13.3304   365   36.41  0.56   Assumpcao etal.2012 statistics JSAmES2012 
PP1B   -54.8797  -17.6003   363   33.22  0.63   Assumpcao etal.2012 statistics JSAmES2012 
